Tf,Tg,Tf_age,Tg_age
YOR028C,YCL025C,Saccharomycetaceae,Saccharomyceta
YOR028C,YCR021C,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YCR102C,Saccharomycetaceae,Ascomycota
YOR028C,YDL037C,Saccharomycetaceae,Saccharomyces
YOR028C,YDL129W,Saccharomycetaceae,Eukaryota
YOR028C,YDL168W,Saccharomycetaceae,Dikarya
YOR028C,YDL169C,Saccharomycetaceae,Dikarya
YOR028C,YDL214C,Saccharomycetaceae,Fungi
YOR028C,YDR042C,Saccharomycetaceae,Saccharomyces
YOR028C,YDR077W,Saccharomycetaceae,Saccharomyceta
YOR028C,YDR089W,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YDR259C,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YDR300C,Saccharomycetaceae,Ascomycota
YOR028C,YDR301W,Saccharomycetaceae,Saccharomyces
YOR028C,YDR338C,Saccharomycetaceae,Fungi
