Symbol,GeneID
PERP,64065
SSPN,8082
ATXN2,6311
CEBPE,1053
KRT5,3852
MTHFR,4524
ANAPC4,29945
JAK2,3717
KLK3,354
STIP1,10963
SLC39A1,27173
F10,2159
POU2AF1,5450
PPM1D,8493
SAMD4A,23034
KMT2A,4297
SPN,6693
ACBD3,64746
LATS2,26524
GRHL1,29841
NFKBIZ,64332
PCSK9,255738
TNFRSF10B,8795
RNF14,9604
ABCG5,64240
PTH,5741
LSS,4047
MAPK8,5599
PHB,5245
MIP,4284
RPS6KA3,6197
SATB2,23314
KCNN2,3781
HOXD13,3239
CX3CL1,6376
SLC2A1,6513
ACO1,48
SLC9A1,6548
RUNX1,861
CEACAM5,1048
KLF17,128209
PBX2,5089
CNR1,1268
TCF4,6925
TFAP2C,7022
SLPI,6590
FHL2,2274
NME3,4832
IFNB1,3456
LPAR2,9170
CRP,1401
SMARCB1,6598
FABP6,2172
SFRP5,6425
ZNF268,10795
PDGFRA,5156
PRSS8,5652
ETV6,2120
MTA2,9219
MZF1,7593
F8,2157
ECD,11319
GRHL2,79977
PTGDS,5730
CD58,965
CYBB,1536
ECM1,1893
TFF3,7033
IFNAR1,3454
PEG10,23089
NFKBIA,4792
RHOC,389
MELTF,4241
DLK1,8788
ROR1,4919
PLIN2,123
DEFA5,1670
WNT7B,7477
COL2A1,1280
NR1H3,10062
TIAL1,7073
ERVFRD-1,405754
TNFRSF12A,51330
ACAT1,38
BTK,695
SLC16A1,6566
MMP12,4321
PHOX2A,401
ZNF24,7572
FHL1,2273
BHLHE22,27319
SURF2,6835
TMPO,7112
PGR,5241
LCN2,3934
